track.id,track.name,track.popularity,track.album.album_type,track.duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track.album.release_date,tag
4TsmezEQVSZNNPv5RJ65Ov,Pon de Replay,79,album,246960,0.779,0.64,-8.415,0.159,1.55e-4,7.7e-4,0.101,0.498,99.019,2005-08-29,2000s
3DamFFqW32WihKkTVlwTYQ,Fireflies,78,album,228346,0.512,0.662,-6.797,0.0439,0.0275,0,0.118,0.472,180.114,2009-01-01,2000s
5r5cp9IpziiIsR6b93vcnQ,Walking On A Dream,78,album,198440,0.871,0.701,-5.594,0.0458,0.257,7.52e-6,0.0589,0.716,126.975,2008-10-03,2000s
5wQnmLuC1W7ATsArWACrgW,Welcome to the Black Parade,77,album,311106,0.217,0.905,-4.103,0.0752,2.89e-4,1.1e-4,0.222,0.236,96.95,2006-10-23,2000s
3WkibOpDF7cQ5xntM1epyf,It Wasn't Me,77,album,227600,0.853,0.606,-4.596,0.0713,0.0561,0,0.313,0.654,94.759,2000-08-08,2000s
7x8dCjCr0x6x2lXKujYD34,The Pretender,77,album,269373,0.433,0.959,-4.04,0.0431,9.17e-4,0,0.028,0.365,172.984,2007-09-25,2000s
6naxalmIoLFWR0siv8dnQQ,Oops!...I Did It Again,77,album,211160,0.751,0.834,-5.444,0.0437,0.3,1.77e-5,0.355,0.894,95.053,2000-05-16,2000s
1hGy2eLcmC8eKx7qr1tOqx,Beautiful Girls,77,single,225373,0.762,0.661,-6.075,0.0687,0.15,0,0.256,0.769,130.009,2007-07-23,2000s
68vgtRHr7iZHpzGpon6Jlo,My Boo,77,album,223440,0.662,0.507,-8.238,0.118,0.257,0,0.0465,0.676,86.412,2004-03-23,2000s
3Zwu2K0Qa5sT6teCCHPShP,Thnks fr th Mmrs,77,album,203506,0.459,0.891,-5.057,0.0623,0.00511,0,0.106,0.588,154.837,2007-01-01,2000s
0ARK753YaiJbpLUk7z5yIM,Dilemma,77,album,289160,0.727,0.552,-8.074,0.14,0.227,1.64e-4,0.198,0.607,168.189,2002-06-25,2000s
6cmm1LMvZdB5zsCwX5BjqE,Down,77,album,212506,0.727,0.68,-4.498,0.0286,0.0101,0,0.0821,0.728,132.012,2009-01-01,2000s
6FB3v4YcR57y4tXFcdxI1E,I Knew You Were Trouble.,77,album,219720,0.622,0.469,-6.798,0.0363,0.00454,2.25e-6,0.0335,0.679,77.019,2012-10-22,2000s
2tJulUYLDKOg9XrtVkMgcJ,Grenade,77,album,222091,0.704,0.558,-7.273,0.0542,0.148,0,0.107,0.245,110.444,2010-10-05,2000s
2TfSHkHiFO4gRztVIkggkE,"Sugar, We're Goin Down",77,album,229093,0.494,0.842,-4.784,0.0843,0.00579,0,0.122,0.574,162.011,2005-05-03,2000s
22UDw8rSfLbUsaAGTXQ4Z8,American Boy,77,album,284733,0.727,0.729,-2.99,0.326,0.171,0,0.07,0.512,117.932,2008-03-28,2000s
0O45fw2L5vsWpdsOdXwNAR,SexyBack (feat. Timbaland),77,album,242733,0.967,0.583,-5.562,0.0789,0.0584,0,0.0519,0.964,117,2006-09-12,2000s
5IVuqXILoxVWvWEPm82Jxr,Crazy In Love (feat. Jay-Z),77,album,236133,0.646,0.77,-6.596,0.226,0.00249,0,0.0715,0.681,99.165,2003-06-24,2000s
4bJygwUKrRgq1stlNXcgMg,All The Things She Said,77,album,214440,0.603,0.834,-5.766,0.0417,0.0411,0.00609,0.105,0.376,89.957,2002,2000s
3ZffCQKLFLUvYM59XKLbVm,Wake Me up When September Ends,77,album,285653,0.546,0.814,-5.146,0.0314,0.023,0,0.0972,0.146,104.98,2004-09-21,2000s
1jJci4qxiYcOHhQR247rEU,Kids,77,album,302840,0.451,0.931,-3.871,0.0719,7.6e-4,0.0049,0.361,0.172,122.961,2007-12-14,2000s
2GYHyAoLWpkxLVa4oYTVko,Alors on danse - Radio Edit,77,album,206066,0.791,0.59,-9.206,0.0793,0.0994,0.00203,0.065,0.714,119.951,2010-01-01,2000s
6brl7bwOHmGFkNw3MBqssT,So Sick,77,album,207186,0.452,0.574,-8.336,0.31,0.246,0,0.189,0.58,92.791,2006-01-01,2000s
2q4rjDy9WhaN3o9MvDbO21,Kiss Me Thru The Phone,77,album,193386,0.758,0.712,-3.781,0.112,0.0185,0,0.0677,0.795,149.998,2008-01-01,2000s
1AWQoqb9bSvzTjaLralEkT,Rock Your Body,77,album,267266,0.892,0.714,-6.055,0.141,0.201,2.34e-4,0.0521,0.817,100.972,2002-11-04,2000s
7LR85XLWw2yXqKBSI5brbG,Run This Town,77,album,267520,0.632,0.924,-1.802,0.29,0.281,0,0.263,0.441,86.844,2009-09-08,2000s
6ucR4KfvsBFWCMVFDvyKKl,Apologize,76,album,184400,0.653,0.604,-6.017,0.0278,0.0292,0,0.097,0.101,118.016,2007-04-02,2000s
10Nmj3JCNoMeBQ87uw5j8k,Dani California,76,album,282160,0.556,0.913,-2.36,0.0437,0.0193,8.59e-6,0.346,0.73,96.184,2006-05-09,2000s
3Fzlg5r1IjhLk2qRw667od,Dancing in the Moonlight,76,album,232693,0.632,0.856,-3.463,0.0348,0.0624,0,0.347,0.867,119.397,2000,2000s
3goSVuTt3fDYDP6kRnFwuL,Take A Bow,76,album,229413,0.697,0.467,-7.536,0.0715,0.248,0,0.0941,0.572,82.082,2008-06-02,2000s
70wYA8oYHoMzhRRkARoMhU,When You Were Young,76,album,220426,0.467,0.988,-3.313,0.112,1.52e-4,0.0484,0.28,0.321,130.433,2006-09-27,2000s
49X0LAl6faAusYq02PRAY6,Lady - Hear Me Tonight,76,album,307153,0.72,0.808,-5.627,0.0379,0.00793,0.0293,0.0634,0.869,126.041,2001,2000s
5GorCbAP4aL0EJ16frG2hd,Boulevard of Broken Dreams,76,compilation,262333,0.496,0.682,-4.095,0.0294,0.00552,2.94e-5,0.0589,0.474,167.06,2017-11-17,2000s
1gv4xPanImH17bKZ9rOveR,Raise Your Glass,76,single,202960,0.7,0.709,-5.006,0.0838,0.0048,0,0.029,0.624,122.019,2010-10-05,2000s
0a7BloCiNzLDD9qSQHh5m7,"Dance, Dance",76,album,180266,0.622,0.961,-3.198,0.154,0.00523,0,0.0854,0.449,114.452,2005-05-03,2000s
00Mb3DuaIH1kjrwOku9CGU,Sk8er Boi,76,album,204000,0.487,0.9,-4.417,0.0482,6.79e-5,0,0.358,0.484,149.937,2002-06-04,2000s
2nGFzvICaeEWjIrBrL2RAx,Put Your Records On,76,album,215360,0.739,0.511,-7.844,0.0362,0.167,1.34e-6,0.133,0.542,96.038,2006-01-01,2000s
5VGlqQANWDKJFl0MBG3sg2,Use Somebody,76,album,230760,0.276,0.715,-5.356,0.0432,0.00552,4.17e-4,0.201,0.173,137.028,2008-09-23,2000s
1AdYZ6X00nXmO613Y7GJOl,I Miss You,76,album,227250,0.423,0.714,-8.295,0.045,0.00113,6.28e-6,0.0855,0.593,110.017,2003-11-01,2000s
3FtYbEfBqAlGO46NUDQSAt,Electric Feel,76,album,229640,0.763,0.803,-3.713,0.0351,0.0709,0.285,0.348,0.561,103.04,2007-12-14,2000s
7H6ev70Weq6DdpZyyTmUXk,Say My Name,76,album,271333,0.713,0.678,-3.525,0.102,0.273,0,0.149,0.734,138.009,1999-07-27,2000s
0ll8uFnc0nANY35E0Lfxvg,Somewhere Only We Know,76,album,236160,0.453,0.655,-4.22,0.0259,0.0794,7.61e-6,0.0849,0.368,172.012,2004-01-01,2000s
2NBQmPrOEEjA8VbeWOQGxO,Drop It Like It's Hot,76,album,266066,0.888,0.632,-3.872,0.219,0.19,0,0.101,0.662,91.979,2004-01-01,2000s
0JiY190vktuhSGN6aqJdrt,So What,76,album,215160,0.534,0.87,-3.078,0.0425,3.34e-4,0,0.241,0.462,126.019,2008-10-24,2000s
3NZJlJemX3mzjf56MqC5ML,Forever,75,single,278573,0.672,0.82,-4.456,0.0459,0.0368,1.88e-4,0.184,0.438,120.005,2008-04-29,2000s
2V4bv1fNWfTcyRJKmej6Sj,Cooler Than Me - Single Mix,75,album,213293,0.768,0.82,-4.63,0.0474,0.179,0,0.689,0.625,129.965,2010-08-09,2000s
3NLrRZoMF0Lx6zTlYqeIo4,Here Without You,75,album,238733,0.557,0.533,-6.817,0.0252,0.0492,0,0.205,0.233,143.994,2002-11-12,2000s
4fixebDZAVToLbUCuEloa2,Womanizer,75,album,224400,0.724,0.695,-5.226,0.0622,0.073,0,0.0889,0.235,139,2008-12-02,2000s
0vg4WnUWvze6pBOJDTq99k,You're Beautiful,75,album,209493,0.675,0.479,-9.87,0.0278,0.633,1.76e-5,0.088,0.454,81.998,2005-08-08,2000s
1vcxF91pWs9uNwDROuiCPB,Savior,75,album,242280,0.554,0.932,-3.424,0.0485,0.00154,1.42e-4,0.425,0.478,112.49,2008-01-01,2000s
3U5JVgI2x4rDyHGObzJfNf,Unwritten,75,album,259333,0.706,0.8,-6.333,0.0399,0.00584,0,0.0822,0.629,100.011,2004-08-30,2000s
5R8dQOPq8haW94K7mgERlO,Poker Face,75,album,237200,0.851,0.806,-4.62,0.0787,0.118,1.64e-6,0.121,0.787,118.999,2008-01-01,2000s
4VqPOruhp5EdPBeR92t6lQ,Uprising,75,album,304840,0.602,0.905,-4.046,0.0775,2.02e-4,0.064,0.117,0.411,128.019,2009-09-10,2000s
34ceTg8ChN5HjrqiIYCn9Q,Miss Independent,75,album,232000,0.673,0.683,-5.693,0.115,0.522,0,0.235,0.713,171.86,2008-01-01,2000s
5FZxsHWIvUsmSK1IAvm2pp,Best of You,75,album,255626,0.366,0.94,-5.119,0.0696,7.69e-4,9.42e-5,0.188,0.369,130.198,2005-06-14,2000s
1zNXF2svmdlNxfS5XeNUgr,Don't Know Why,75,album,186251,0.745,0.219,-11.216,0.0276,0.851,1.8e-5,0.0678,0.635,88.609,2002-02-26,2000s
5Q0Nhxo0l2bP3pNjpGJwV1,Party In The U.S.A.,75,album,202066,0.652,0.698,-4.667,0.042,0.00112,1.15e-4,0.0886,0.47,96.021,2009-01-01,2000s
0VwNdo84DaVYLIkbVO86ND,We Are Never Ever Getting Back Together,75,album,193146,0.628,0.676,-5.911,0.0916,0.00957,2.65e-5,0.121,0.75,85.984,2012-10-22,2000s
3Gf5nttwcX9aaSQXRWidEZ,Ride Wit Me,75,album,291781,0.85,0.7,-6.49,0.0478,0.0616,1.8e-6,0.244,0.722,101.875,2000-06-27,2000s
5qTvkDrSfvwDv6RBjjcfQr,Get Busy,75,album,211666,0.735,0.824,-4.143,0.036,0.615,0,0.158,0.726,100.202,2002-11-12,2000s
4dyx5SzxPPaD8xQIid5Wjj,Young Folks,75,album,276693,0.699,0.812,-6.005,0.0377,0.0164,7.63e-4,0.105,0.662,138.185,2006-01-01,2000s
455AfCsOhhLPRc68sE01D8,Last Friday Night (T.G.I.F.),75,album,230746,0.649,0.815,-3.796,0.0415,0.00125,4.31e-5,0.671,0.765,126.03,2012-03-12,2000s
3jlbL2OTD5YmIunYzgQTAN,Live Your Life,74,album,338853,0.375,0.862,-3.363,0.255,0.071,0,0.211,0.478,159.841,2008-09-07,2000s
25FTMokYEbEWHEdss5JLZS,Teenage Dirtbag,74,album,241666,0.625,0.85,-3.904,0.0495,0.346,2.33e-4,0.174,0.633,94.661,1999-02-15,2000s
4JehYebiI9JE8sR8MisGVb,Halo,74,album,261640,0.508,0.72,-5.908,0.0628,0.272,0,0.0563,0.472,79.983,2008-11-17,2000s
2T3jgoAMbBXiMMD8pSc6QL,This Is The Life,74,album,184413,0.628,0.882,-5.024,0.0323,0.259,0,0.065,0.853,95.083,2007-01-01,2000s
7ElF5zxOwYP4qVSWVvse3W,Break Your Heart,74,album,201546,0.607,0.934,-4.217,0.0314,0.0327,0,0.0909,0.568,122.01,2010-01-01,2000s
1GEBsLDvJGw7kviySRI6GX,You Belong With Me,75,album,232120,0.687,0.745,-4.432,0.0379,0.178,1.59e-5,0.111,0.435,129.966,2008-11-11,2000s
3RmKpob8xzv1pzHEQrMJah,Let Me Blow Ya Mind,74,album,230133,0.908,0.557,-4.243,0.107,0.242,0,0.0709,0.897,90.032,2001-01-01,2000s
