"","track.name","track.album.release_date","track.popularity","track.album.album_type","track.duration_ms","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","Playlist"
"846","Korobeiniki","2012-02-07",42,"album",202360,0.58,0.506,-9.755,0.067,0.667,0.937,0.122,0.862,98.478,"Edy"
"847","Isn't She Lovely","1976-09-28",64,"album",394266,0.481,0.826,-6.974,0.0851,0.182,0.00352,0.324,0.819,118.679,"Edy"
"848","Shape Of My Heart","1993-03-09",72,"album",279226,0.537,0.373,-10.081,0.0331,0.691,0.000915,0.083,0.244,83.936,"Edy"
"849","Englishman In New York - My Songs Version","2019-05-24",37,"album",268222,0.696,0.707,-7.268,0.041,0.031,0,0.0562,0.481,102.011,"Edy"
"850","Desert Rose","1999-01-01",53,"album",285893,0.577,0.654,-7.9,0.0321,0.0143,0,0.114,0.13,111.993,"Edy"
"851","Reptilia","2003-10-28",74,"album",219826,0.489,0.649,-5.11,0.0336,0.000603,0.713,0.101,0.77,158.009,"Edy"
"852","Alors on danse - Radio Edit","2010-01-01",77,"album",206066,0.791,0.59,-9.206,0.0793,0.0994,0.00203,0.065,0.714,119.951,"Edy"
"853","Te Quiero","2010-01-01",53,"album",204000,0.723,0.697,-8.688,0.225,0.0968,0,0.0803,0.792,123.136,"Edy"
"854","Silence","2010-01-01",44,"album",280986,0.592,0.543,-11.98,0.0551,0.0508,0.0343,0.101,0.0366,125.079,"Edy"
"855","Fils de joie","2022-03-03",65,"album",195440,0.547,0.638,-7.789,0.25,0.46,4.15e-06,0.0775,0.882,62.526,"Edy"
"856","C’est que du bonheur","2022-03-03",55,"album",162226,0.867,0.616,-7.964,0.172,0.317,8.35e-05,0.106,0.638,98.037,"Edy"
"857","Mauvaise journée","2022-03-03",54,"album",187680,0.569,0.669,-8.849,0.18,0.647,0,0.137,0.705,73.882,"Edy"
"858","Invaincu","2022-03-03",56,"album",125706,0.552,0.728,-8.229,0.113,0.0273,0.000139,0.0996,0.248,109.57,"Edy"
"859","La solassitude","2022-03-03",57,"album",182160,0.569,0.536,-9.654,0.42,0.653,0,0.177,0.629,107.277,"Edy"
"860","L’enfer","2022-07-27",55,"album",189720,0.587,0.527,-8.417,0.101,0.381,0,0.23,0.582,88.661,"Edy"
"861","Pas vraiment","2022-03-03",55,"album",162626,0.577,0.499,-9.202,0.327,0.236,0.000732,0.339,0.511,87.212,"Edy"
"862","Mon amour","2022-03-03",57,"album",172106,0.476,0.609,-8.869,0.309,0.386,0,0.0891,0.887,172.384,"Edy"
"863","papaoutai","2022-09-19",8,"compilation",231380,0.747,0.777,-7.986,0.103,0.127,0,0.0738,0.191,116.034,"Edy"
"864","bâtard","2013-01-01",54,"album",208826,0.743,0.749,-9.652,0.248,0.0478,0,0.746,0.78,126.012,"Edy"
"865","Tous les mêmes","2013-01-01",68,"album",210933,0.701,0.637,-9.061,0.166,0.223,0.00219,0.279,0.647,109.959,"Edy"
"866","Formidable","2013-01-01",67,"album",213933,0.513,0.628,-9.056,0.19,0.0997,0,0.146,0.501,70.568,"Edy"
"867","humain à l'eau","2013-01-01",49,"album",239226,0.841,0.747,-9.103,0.318,0.0328,0,0.0716,0.428,138.004,"Edy"
"868","sommeil","2013-01-01",48,"album",218653,0.645,0.621,-7.488,0.166,0.0827,7.77e-06,0.28,0.421,126.581,"Edy"
"869","Santé","2021-10-15",64,"single",190011,0.641,0.681,-6.418,0.354,0.123,3.36e-05,0.0425,0.836,138.095,"Edy"
"870","Someday - Remastered","2005-06-17",54,"compilation",243333,0.743,0.67,-4.547,0.0293,0.0108,0.0702,0.22,0.934,110.832,"Edy"
"871","Eye of the Tiger","1985",76,"compilation",245640,0.817,0.599,-9.249,0.0328,0.132,0.000311,0.0873,0.548,108.873,"Edy"
"872","I Can't Hold Back","1984-01-01",54,"album",238800,0.509,0.681,-10.659,0.0306,0.499,5.36e-05,0.1,0.33,143.645,"Edy"
"873","I Won't Say (I'm In Love)","1997-01-01",66,"compilation",140226,0.684,0.481,-10.305,0.0391,0.228,0,0.157,0.48,121.208,"Edy"
"874","Save The World","2011-05-13",66,"single",213337,0.507,0.665,-7.598,0.0474,0.0144,0,0.0759,0.4,126.879,"Edy"
"875","Greyhound","2012-01-01",62,"album",410096,0.723,0.806,-4.989,0.0521,0.00666,0.876,0.276,0.539,124.976,"Edy"
"876","Don't You Worry Child - Radio Edit","2012-09-14",80,"single",212862,0.612,0.84,-3.145,0.0509,0.112,0,0.116,0.438,129.042,"Edy"
"877","Miami 2 Ibiza","2010-05-31",8,"album",175413,0.635,0.943,-4.609,0.0644,0.00344,1.46e-05,0.481,0.645,125.046,"Edy"
"878","Piano Sonata No. 11 in A Major, K. 331: III. Alla Turca","2019-04-19",0,"compilation",207266,0.518,0.136,-21.141,0.0589,0.984,0.871,0.102,0.766,129.593,"Edy"
"879","Dynamite","2010-01-01",64,"album",203866,0.754,0.804,-3.177,0.0853,0.00332,0,0.0329,0.818,119.968,"Edy"
"880","Break Your Heart","2010-01-01",60,"album",186266,0.666,0.899,-4.676,0.028,0.00155,0,0.0677,0.629,122.05,"Edy"
"881","Introduction et rondo capriccioso, Op. 28","2016-01-26",1,"album",578600,0.314,0.149,-19.383,0.0462,0.954,0.105,0.0579,0.254,77.599,"Edy"
"882","Gerudo Valley (From ""Ocarina of Time"")","2013-11-20",40,"album",205026,0.507,0.873,-6.865,0.0907,0.661,0.00012,0.148,0.533,120.178,"Edy"
"883","Song of Time and Song of Storms (From ""Ocarina of Time"")","2013-11-20",38,"album",186840,0.216,0.481,-8.084,0.0344,0.479,0.692,0.103,0.124,102.941,"Edy"
"884","Zelda's Lullaby","2013-11-20",35,"album",175880,0.139,0.266,-13.159,0.0412,0.9,0.0255,0.143,0.0713,79.455,"Edy"
"885","Everybody Wants To Rule The World","1985-02-25",49,"album",251480,0.637,0.811,-11.345,0.0583,0.363,0.00451,0.107,0.552,112.052,"Edy"
"886","Sweet Disposition","2009-08-10",70,"album",234360,0.542,0.813,-6.89,0.0429,0.0765,0.252,0.116,0.305,129.09,"Edy"
"887","1812 Festival Overture, Op. 49: 1812 Overture, Op. 49","2005-10-18",21,"compilation",934480,0.156,0.253,-16.661,0.0578,0.88,0.909,0.0891,0.0708,74.427,"Edy"
"888","Maximal Crazy - Extended Mix","2011-09-20",36,"single",409433,0.69,0.786,-3.848,0.0566,0.000298,0.885,0.081,0.174,130.007,"Edy"
